haloID,c_low,c_mid,c_high,n_particles,virial_r
07623,9.63921947101,9.8041605238,9.91367172271,8834,207.11499608
07624,9.80244915928,10.1960289105,10.6159659814,227,207.11499608
07625,9.65798400685,9.81341037094,10.0163057509,5280,207.11499608
07626,9.65625509733,10.0130338644,10.1749204701,12628,207.11499608
07627,9.24946896906,9.50337663277,9.7889512107,2258,207.11499608
07628,9.9311330358,10.2164381392,10.4765616396,343,207.11499608
07629,8.59632420544,8.73063842999,8.89051351228,1982,207.11499608
07630,9.32839467374,9.55483846619,9.79647166258,623,207.11499608
07631,8.01611599449,8.29019264447,8.52820640078,287,207.11499608
07632,9.1262420555,9.28586165191,9.42576900781,9162,207.11499608
07633,9.27653268479,9.484706167,9.69605382024,8775,207.11499608
07634,9.61954562383,9.938632104,10.1883133673,1307,207.11499608
07635,9.72437268278,9.96687424606,10.1718357771,3881,207.11499608
07636,10.8250979736,11.1666831693,11.4959560253,298,207.11499608
07637,9.64187083583,9.88024290467,10.1011546839,2007,207.11499608
07638,9.55480052654,9.69197450751,9.85314801271,13306,207.11499608
07639,9.49344828967,9.72767431985,9.9880968081,4419,207.11499608
07640,8.98165074726,9.20265483413,9.50395763188,488,207.11499608
07641,9.09763570395,9.34383660194,9.55415223387,1409,207.11499608
07642,9.73481832939,9.93791081116,10.1432613936,13424,207.11499608
07643,7.72882129911,8.09762153442,8.446202936,265,207.11499608
07644,11.2639709585,11.7313070395,12.3271579384,212,207.11499608
07645,9.64796040772,9.81199504559,10.0347149775,7663,207.11499608
07646,8.17371700795,8.42012214324,8.63764675249,386,207.11499608
07647,9.50363109873,9.79755238979,10.0364638006,12760,207.11499608
07648,9.36685431122,9.76700553763,10.2681374526,956,207.11499608
07649,9.429958361,9.64844659597,9.94792657169,308,207.11499608
07650,9.69271401514,10.0061724572,10.2111556357,2408,207.11499608
07651,10.4829892268,10.9975404816,11.3741720483,1804,207.11499608
07652,9.16627908266,9.35780993766,9.51149920904,10553,207.11499608
07653,9.53938783939,9.79117183186,9.99518325601,16754,207.11499608
07654,9.68944589134,9.96357354909,10.2056468425,8868,207.11499608
07655,9.29142051329,9.57542781779,9.82712157244,1526,207.11499608
