#Id,x,y,z,rho0,rho0_max,rho0_min,rs,rs_max,rs_min,r_max,r_vir,c
85007769237,450.241200,524.340800,526.021500,184232.917178,361103.045793,17646.158760,0.034507,0.042253,0.026805,0.180660,0.000000,-99.000000
85002057347,470.641300,460.497200,483.701700,70388.337854,85371.607767,55523.486375,0.087945,0.094654,0.081299,0.398445,0.305764,3.476766
85000903316,505.846700,485.290100,461.362700,872497.622067,955144.222040,791780.393675,0.037056,0.038530,0.035619,0.534451,0.397265,10.720648
85001037674,518.794600,538.854400,502.694800,528584.656586,583816.756243,472965.834427,0.046140,0.048157,0.044162,0.363559,0.000000,-99.000000
85000745175,502.572000,474.440100,450.423600,208021.256923,225845.304024,189718.296796,0.074274,0.077440,0.071035,0.425178,0.000000,-99.000000
85008521982,477.830800,468.962900,501.263400,2854.291441,5157.552396,726.217387,0.176347,0.194775,0.157879,0.372034,0.141710,0.803587
85001285602,510.836800,477.395300,502.344100,679220.382381,761083.056842,595350.413902,0.033971,0.035619,0.032364,0.547505,0.342541,10.083454
85003196663,487.133900,464.867400,489.600300,563107.691789,812880.623602,310305.181906,0.026875,0.029628,0.024052,0.343619,0.266034,9.898916
85005766787,482.332500,542.762400,498.082700,465994.108443,729737.043348,199396.404701,0.022810,0.025417,0.020192,0.334557,0.198089,8.684365
85007909474,456.019800,501.599700,535.542700,450764.383769,932715.512285,36283.693979,0.021770,0.025984,0.017558,0.195508,0.000000,-99.000000
85003681800,487.525300,530.473700,500.013700,302316.875381,414957.537314,188830.100052,0.036565,0.040216,0.032897,0.210854,0.000000,-99.000000
85008504263,468.987000,518.498100,478.665600,1434110.033105,4451758.461219,113278.481163,0.012450,0.014590,0.010308,0.173899,0.000000,-99.000000
85006786808,472.730200,505.274600,501.239200,275713.989449,608343.327588,34823.619932,0.032057,0.037976,0.026159,0.212780,0.000000,-99.000000
85007504471,545.546500,525.387800,491.819700,604883.026737,1247169.177711,73367.936986,0.021629,0.024714,0.018566,0.149967,0.000000,-99.000000
85004441883,467.126900,459.190700,534.076000,294264.985812,433669.703475,157644.048825,0.032698,0.036618,0.028706,0.233551,0.000000,-99.000000
85003290837,495.544600,531.057200,487.388000,263672.892977,353030.444256,175571.512161,0.038089,0.042005,0.034108,0.252038,0.000000,-99.000000
85008052971,543.149900,457.718800,544.971700,1547496.475865,3566780.404576,141133.509454,0.012919,0.015018,0.010776,0.210581,0.181451,14.045265
85001947430,492.671000,519.492100,505.201400,699488.829082,810989.728967,588558.679908,0.029319,0.031057,0.027630,0.374186,0.303554,10.353511
85004547441,487.940300,514.444200,545.096400,263184.646245,424028.966987,106345.983122,0.037804,0.042464,0.033194,0.210645,0.000000,-99.000000
